,Unnamed: 0,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
16,16,"Metromile
4.2",Staff Data Scientist,"San Francisco, CA",-1,Job Type : N/A,201 to 500 employees,2011,company - public,insurance carriers,insurance,unknown / non-applicable,"About Us

On the off chance you've thought about insurance, it's likely because you've insured something you love, not because you loved your insurance company. Metromile is out to change that. As an insurtech company powered by data science and customer-centric design, we're building a community of drivers who come for the savings and stay for the experience.

With technology at its core, Metromile is reimagining insurance to make it fairer and actually delightful. We're obsessed with savings, service, and features -- street sweeping alerts, monthly mileage summaries, fuel trackers and more -- that engage a customer all along their journey. We're on the forefront of disrupting a $250 billion auto insurance category that has gone unchanged for over 80 years.

Metromile's diverse team combines the best of Silicon Valley technologists with veterans from Fortune 500 insurers and financial services giants. This management structure ensures that the business is focused on growth, customer experience and technology innovation while also balancing unit economics and profitability. The team is growing quickly across its San Francisco, Tempe, and Boston offices, as well as remotely. Our customer service, claims, and sales teams are all based in-house in the US.

Thanks to what makes us different -- our people and our technology -- we've been honored with a slew of awards. A few recent ones include: named a Benzinga ""Best Insurtech"" finalist, a Top Company to Work For , one of the Healthiest Employers in Phoenix , and a Best Place to Work . And, our CEO was recognized as a 2020 40 under 40 .

About The Role

At a pivotal inflection point of growth, Metromile is seeking a Staff Data Scientist to work with partners from across our company (actuarial, claims, marketing, telematics, and underwriting) to scale an effective business. This role will provide technical leadership in data practices, modeling infrastructure/architecture, and algorithmic design as a core member of a growing team. Your models will have an outsized impact in optimizing the balance between profitability, risk, and growth; enabling dynamic customer experiences; and powering our pricing strategies.

Data is our product; understanding how driver behavior relates to risk is at the core of our insurance business and will disrupt the way the industry currently operates. For one project, you might draw on data from in-car sensors, mobile devices, and connected vehicles to improve how quickly we are able to assess driving risk. For another, you might use the data we collect during the quote-and-enroll sign-up process to streamline the customer experience.

If you are excited by the opportunity to explore diverse data sources and work on impactful projects central to our company's mission, we'd love to hear from you.

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Lead innovation on our infrastructure for managing features for, training, and deploying machine learning models (both batch and real-time) based on your expertise
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions, learning new methodologies, and helping each other improve through feedback and shared research/tools

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Improve our infrastructure for training and deploying machine learning models, both batch and real-time
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions and learning new methodologies.

About You

No degree required. While we appreciate experience in a quantitative field like statistics, economics, applied math, operations research, physics or engineering, we recognize there are many paths to gain that experience and would love to hear about yours
4+ years experience building and deploying machine learning models in production
Proficiency with SQL for writing efficient queries on large datasets
Proficiency with Python for statistical and numerical modeling
Experience with Python and/or Scala APIs of Apache Spark, or other tools to work efficiently with data at scale (e.g., billions of rows from sensors)
Experience with AWS and/or GCP cloud platforms
Ability to collaborate and communicate with cross-functional partners to build the business

Bonus Points

Experience within the fintech, insurtech, or autonomous vehicle space
Prior work in developing machine learning infrastructure

What's In It For You

Competitive salary and stock options
Excellent benefits package (health, dental, vision, 401K- with employer match)
Well-being reimbursement, includes home office equipment
Flexible paid vacation program and a culture that encourages using it (e.g., designated no-meeting days so teams can take flex holidays)
Flexible hours
Remote work options
12 paid weeks of leave for child birth/adoption
Annual anniversary gifts (6 week paid sabbatical at 5 years)

If you got to this point, we hope you're feeling excited about the role. Even if you don't feel that you meet every single requirement, we still encourage you to apply. We're eager to meet people that believe in Metromile's mission and can contribute to our team in a variety of ways – not just candidates who check all the boxes.

Metromile is committed to building a diverse, inclusive and equitable culture at all levels. We nurture a sense of community by investing in one another's unique backgrounds and experiences to drive business success and positively influence our services and products.

Metromile is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, ethnicity, national origin, citizenship, religion, creed, sex, sexual orientation, gender, gender identity, or expression (including against any individual that is transitioning, has transitioned, or is perceived to be transitioning), marital status or civil partnership/union status, physical or mental disability, medical condition, pregnancy, childbirth, genetic information, military, and veteran status, or any other basis prohibited by applicable federal, state or local law."
17,17,"First Republic Bank
4.3",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,1001 to 5000 employees,1985,company - public,banks & credit unions,finance,$10+ billion (usd),"Description
**Visa sponsorship not available for this role

At First Republic, we care about our people. Founded in 1985, we offer extraordinary client service in private banking, private business banking and private wealth management. We believe that personal connections are everything and our success is driven by the relationships we form with our colleagues and clients. You'll always feel empowered and valued here.

Incredible teams doing exceptional work, every day
In Data & Client Insights, we are responsible for delivering accurate data reporting to help promote data fluency, improve client service, and inform business decisions across the enterprise. We aim to maximize the value of the Bank's data to capitalize on competitive opportunities in increasingly sophisticated ways."
18,18,"Harnham US
3.8","Computational Chemistry, Machine Learning Scientist (REMOTE)","San Francisco, CA",Employer Provided Salary:$190K,Job Type : N/A,51 to 200 employees,2006,company - private,staffing & outsourcing,business services,$25 to $50 million (usd),"THE COMPANY
This pharmaceutical startup is redefining drug discovery using cutting edge tools. As a member of the machine learning team, you will utilize your experience in applying CNNs, GNNs, and the newest techniques in deep learning and Python to drive research and development in chemistry.
THE ROLE
Responsibilities will include:
Using deep learning approaches like convolutional neural networks (CNNs) and graph neural networks (GNNs) applied to small molecule data, protein data, and chemistry data
Collaborating with scientists and engineers to advance the drug discovery pipeline"
19,19,"Salesforce
4.5","Data Scientist, Ethical AI Practice","San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Team Overview
Salesforce's Office of Ethical and Humane Use is looking for an experienced data scientist and/or practitioner in the area of fairness, accountability, transparency, and explainability (FATE). Working with the Ethical AI, Einstein, and Salesforce AI Research teams, they will conduct research that informs the creation of bias and fairness AI tooling.

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
20,20,Numerdox,Data Scientist - Entry Level,"Sacramento, CA",-1,Job Type : N/A,-1,-1,-1,-1,-1,-1,"As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.
Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.
This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.
Primary job location is in Sacramento, but work-from-home option is available.

Qualifications"
21,21,"Avila Trading
3.9",Data scientist,"San Francisco, CA",-1,Job Type : N/A,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"August 31, 2018
Data scientist
Job Requirements:
Conceptual understanding in Machine Learning models like Nai¨ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them
Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)
Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R
Ability to communicate Model findings to both Technical and Non-Technical stake holders"
22,22,"Twitch Interactive, Inc.
3.8",Applied Scientist,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1994,company - public,internet,information technology,$10+ billion (usd),"Broad knowledge of fundamentals and the state-of-the art in relevant areas of Machine Learning/Artificial Intelligence/Data Science
Knowledge of Software Development (data structures, algorithms, etc.).
Strong coding skills in at least one language
Strong problem solving skills
Our Proactive Detection team is working on solutions to predict and prevent harm happening on our platform and make the users feel more safe. We are a mix of Applied Scientists and Machine Learning Engineers who work very closely together to product ML models, pipelines, reusable components and infrastructure pieces. For this role you would be working on the modeling side of things and your daily tasks will be doing one more or more of the following:

SQL, Spark, Jupyter Notebooks, Python, ML libraries (Tensorfol, scikit-learn, XGBoost ...), AWS Sagemaker, AWS Step, CloudFormation, Go, Mode Analytics and others."
23,23,"Lawrence Berkeley National Laboratory
4.3",Staff Data Scientist,"San Francisco, CA",-1,Job Type : N/A,1001 to 5000 employees,1931,government,state & regional agencies,government,$500 million to $1 billion (usd),"Lawrence Berkeley National Lab’s (LBNL), Environmental Genomics and Systems Biology Division has an opening for a Data Scientist to join the team.

In this exciting role, you will develop methods for extracting information and knowledge from a variety of structured and semi-structured sources, building integrated ontologies and knowledge graphs. You will also develop methods for predicting the effects of genomic variants, leveraging genomic, phenomic, and pathway resources. You will work closely with software and infrastructure groups to integrate methods into production systems, including the Exomiser variant prioritization tool.

What You Will Do:
Design, lead and conduct computational approaches to information and knowledge extraction from heterogeneous methods, including relation extraction from literature, and advanced extract/transform/load (ETL) dataflows."
24,24,Abl Schools,Abl Schools | Data Scientist,"San Francisco, CA",Employer Provided Salary:$120K - $160K,Job Type : Full-time,1 to 50 employees,2018,company - private,consulting,business services,unknown / non-applicable,"Overview
Abl believes every student deserves the opportunity to make informed and meaningful choices about their life and future. Unfortunately, many students aren’t given the same opportunities due to systemic inequities. Abl offers advanced, data-driven software and services to help K12 schools and districts identify and remove those inequities. We are currently doing this work with some of the largest districts in the country, such as Los Angeles Unified, New York Dept of Ed, Portland Public Schools, Denver Public Schools, and the state of Washington.
The Abl team is made up of veteran school leaders, district-level decision-makers, and teachers working together with veteran software engineers, designers, and data scientists.
The Role:
We are looking for an experienced data scientist who will be a key innovator in leveraging data to provide robust recommendations and product features that positively impact students and teachers. Your contributions will have a meaningful impact on the lives of students across the country."
25,25,"Salesforce
4.5","Lead Data Scientist, Data Intelligence","San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Department Overview - Data Intelligence
Data Intelligence (Di) is the force that propels Salesforce into the 4th Industrial Revolution, informing the path forward to be smarter in every dimension. We work with our Cloud partners to discover new opportunities for growth and optimization, experiment with data, increase adoption and customer health, and shape product strategy. We are a diverse team, comprised of analysts, data scientists, engineers, and visualization experts, who are united by our passion for amplifying the data-driven culture at Salesforce.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
26,26,"Wells Fargo
3.6",Data Scientist,"San Francisco, CA",-1,Job Type : N/A,10000+ employees,1852,company - public,banks & credit unions,finance,$10+ billion (usd),"Job Description

Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as 'Personal Cell' or 'Cellular' in the contact information of your application.
At Wells Fargo, we are looking for talented people who will put our customers at the center of everything we do. We are seeking candidates who embrace diversity, equity and inclusion in a workplace where everyone feels valued and inspired.
Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you."
27,27,"Salesforce
4.5",Principal Data Scientist/Machine Learning Engineer,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Einstein Language Intelligence team is looking for a Principal Data Scientist/Machine Learning Engineer to help improve the way customer service is delivered. As part of the team, you will play a key role in incorporating artificial intelligence into the CRM product portfolio, especially on Conversational AI product such as Einstein Bot. You will participate in designing and developing deep learning models and NLP solutions that can be integrated with Einstein Automation Platform, and you will work with other data scientists and engineers to solve complex NLP problems in this cutting edge space.

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
28,28,"PayPal
4.1",Data Scientist,"San Jose, CA",-1,Job Type : Full-time,10000+ employees,1998,company - public,internet,information technology,$10+ billion (usd),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: At PayPal, we’re reinventing how the world pays and gets paid. We understand that it’s about people. We connect individuals to let them shop, get paid, invest, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world? As a Data Scientist in PayPal’s Global Data Science organization, you will have an impact on PayPal’s product and marketing all around the world. Our data scientists work to better understand our end-users, identify growth opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPal’s endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end ML solutions. If you are a Data Scientist with sharp analytical skills and a passion for deriving new insights, solving unique challenges, leveraging machine learning algorithms, and working in a highly collaborative, values-driven environment – then PayPal’s Global Data Sciences (GDS) is looking for you."
29,29,"Lawrence Livermore National Laboratory
4.6",Data Scientist - Entry Level,"Livermore, CA",-1,Job Type : Full-time,5001 to 10000 employees,1952,government,federal agencies,government,$1 to $2 billion (usd),"Company Description
Join us and make YOUR mark on the World!
Are you interested in joining some of the brightest talent in the world to strengthen the United States’ security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place.
We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, experiences, and perspectives. This is essential to innovation and creativity for continued success of the Laboratory’s mission.
Job Description"
