,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
14,"Oak Valley Hospital District
3.3",Clinical Lab Scientist l (Full-Time),"Oakdale, CA",$21 - $34 Per Hour(Glassdoor est.),Job Type : Full-time,201 to 500 employees,-1,hospital,health care services & hospitals,health care,$50 to $100 million (usd),"JOB DESCRIPTION &
COMPETENCY EVALUATION
POSITION TITLE: Clinical Laboratory Scientist
JOB CODE: 121
DEPARTMENT: Clinical Laboratory (7060) SALARY GRADE:
REPORTS TO: Department Manager, Clinical Laboratory EXEMPT/NON: Non-exempt
Position Summary:
Under general supervision and medical direction, performs laboratory test procedures in a manner that provides accurate, timely, and meaningful results."
15,"Lucid Motors
4.1",Cloud Data Engineer for Autonomous Driving,"Newark, CA",$94K - $130K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2007,company - private,transportation equipment manufacturing,manufacturing,unknown / non-applicable,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking an experienced AWS Engineer to help build up our large-scale data management system for the ADAS / Autonomous Driving team. This field allows contributions on various levels around the data pipeline and data processing, data annotation, machine learning, data ingestion, data pre-processing, integration of Deep Neural Network frameworks, efficient data search and high performance data manipulation."
16,"Adventist Health
3.6","Clinical Laboratory Scientist (CLS), Nights, Full Time - $20K Incentive","Clearlake, CA",$51K - $108K (Glassdoor est.),Job Type : Full-time,10000+ employees,1973,nonprofit organization,health care services & hospitals,health care,unknown / non-applicable,"Clinical Laboratory Scientist, Nights, Full Time - $20K Sign On Bonus!
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
Adventist Health Clear Lake is a 25-bed, critical access hospital serving Lake County with key service areas including an emergency care, imaging, intensive care, maternity, physical rehabilitation, pulmonary rehabilitation, surgery and nine rural health clinics that provide behavioral health, cancer, dental, family medicine, OB/GYN, pediatrics, neurology, orthopedic and pain management to name a few.
Home to Clear Lake, California’s largest natural freshwater lake, Lake County is a great place to live and work. From every corner, there are pristine views of gorgeous landscapes, beautiful mountains, valleys and rolling hills dotted with rows of vineyards and charming small towns. Located just two hours by car from the San Francisco Bay Area, the Sacramento Valley or the Pacific Coast, Clear Lake is a great place to be if you’re a weekend warrior."
17,TrueBinding,"Scientist, NASH/Liver disease","Foster City, CA",$78K - $164K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist
Liver Disease, NASH
About TrueBinding, Inc.
TrueBinding, Inc. is a preclinical and clinical stage biotech company developing first-in-class therapeutic antibody drugs for applications to treat cancer, metabolic diseases, immuno-fibrosis, autoimmune and neurodegeneration diseases, based on our proprietary TrueBinding platform. In our state-of-the-art laboratories, we are seeking innovative and disruptive therapies for highly unmet medical needs.
Job Summary:
We are seeking an experienced Scientist for our Biology Division with a strong background in liver diseases research, ideally having worked with NASH."
18,"Lucid Motors
4.1","Lead Data Engineer, Big Data","Newark, CA",$178K - $200K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2007,company - private,transportation equipment manufacturing,manufacturing,unknown / non-applicable,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are looking for a Lead Data Engineer, Big Data who is looking for a challenge, enjoys thinking big and looking to make their mark on an extremely fast growing company. If building large and building fast, working with a young and very talented team of engineers and collaborating with the brightest mind in the Automotive industry is what you like, Lucid is the best to experience it.
The Role"
19,Circularis Biotechnologies,Research Scientist,"Oakland, CA",$82K - $173K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Circularis Biotechnologies is a small start-up company specializing in DNA promoter discovery and engineering, to serve gene therapy and bio-manufacturing companies around the world. We have an immediate opening for a research scientist (full-time) to be part of our growing team located in Oakland, California. This position offers the opportunity to participate in projects using a wide variety of techniques in the fields of molecular biology, biochemistry, and bioinformatics. We also offer generous stock options to candidates ready to commit to a long term position. The following skills are required:
Ph.D. in an area focused on molecular biology.
Extensive experience in the design and cloning of gene expression plasmids using advanced molecular biology skills (library construction, etc.).
Experience in nucleic acid analysis (DNA, RNA), and next-generation sequencing methods.
Experience with mammalian cell culture, and viral and/or non-viral delivery methods is a plus."
20,"Del Monte Foods, Inc.
3.4",Packaging Senior Scientist,"Walnut Creek, CA",$81K - $164K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1886,subsidiary or business segment,consumer products manufacturing,manufacturing,$1 to $2 billion (usd),"Position Function and Scope:
The Packaging Senior Scientist/Engineer will focus on Data Systems management, Value Engineering, and implement customized packaging solutions for customers in alternate channels. The Engineer will become a Product Data Management (PDM) subject matter expert responsible for working with the other Packaging engineers to gather, prepare and enter all relevant packaging data into the SAP Product Data Management system. The Engineer will lead Value Engineering projects by working to identify new opportunities, assess feasibility and implement solutions. The Engineer will also lead development of customized packaging options for Club, E-commerce, Natural, Convenience, Drug and Dollar channels.
Responsibilities:
Creates SAP material numbers, inputs packaging component data, property spec. data and Brite / Finished Good recipe data and attaches files (pallet patterns, label artwork, etc.). Leverages mass data / recipe upload methods."
21,"23andMe
4.1","Scientist I, Protein Engineering","South San Francisco, CA",$98K - $217K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Who we are

23andMe, the leading consumer genetics and research company, has accumulated a wealth of genotypic and phenotypic information from participants committed to improving human health through advances in genomics. Our Therapeutics team in South San Francisco leverages this data to discover and develop new treatments that can offer significant benefits for patients with serious, unmet medical needs.

This dedicated research and drug development group identifies novel targets using 23andMe's genetic database and performs preclinical research to advance programs towards clinical development. We currently have programs across several therapeutic areas, including but not limited to oncology, respiratory, and cardiovascular diseases. More information about our Therapeutics team is available at https://therapeutics.23andme.com/ .

We are seeking an exceptional, highly-motivated Scientist to contribute to a collaborative, cross-functional team focused on the biological characterization of drug targets and the preclinical development of drug compounds. In this role, you will have experience applying molecular and cell biology approaches to elucidate target function and drug mechanism of action.

What you'll do

Manage the production of mammalian proteins and antibodies to support therapeutic development programs, from construct generation through purification, biophysical and analytical characterization

Interface and collaborate closely with other therapeutic teams including analytics, antibody engineering, and assay

Work closely with project leads to manage and prioritize protein reagent requirements for multiple projects

Utilize mammalian (HEK293 & CHO), insect, and bacterial (E.coli) transient expression systems for protein production

Perform protein purification using a broad variety of chromatographic methods utilizing FPLC/AKTA systems

Produce, engineer, label and/or optimize protein reagents for use in biochemical and functional screening assays

Manage CRO workflows and progress on protein expression/purification related projects

Generate, analyze, document and communicate complex data

What you'll bring

Master's or PhD in Molecular Biology, Biochemistry, or related field

Considerable industry experience in Biotech/Pharma OR in academic research laboratories as a Postdoctoral fellow

Excellent record of productivity and success in the optimization of all aspects of the production of mammalian proteins

Advanced working knowledge of protein expression and purification techniques, protein structure and stability

Proactive and highly self-motivated with strong analytical and troubleshooting skills

Excellent interpersonal communication and organization skills with the ability to work independently and in a fast-paced team environment

Pluses

Prior work experience in an antibody-development setting

Experience with protein analytical characterization such as SEC, RP-HPLC

Prior experience in protein production support for a structural biology group

Prior experience in in vitro and binding assay development

Job title will be commensurate with experience and academic credentials

About Us

23andMe, Inc. is the leading consumer genetics and research company. Founded in 2006, the mission of the company is to help people access, understand, and benefit from the human genome. The company was named by Glassdoor as one of the Best Places to Work in 2019, MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has millions of customers worldwide, with more than 80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accomodations-ext@23andme.com . 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
22,"23andMe
4.1","Scientist I / Scientist II, Computational Biology","South San Francisco, CA",$70K - $194K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Who we are

23andMe, the leading consumer genetics company, has accumulated a wealth of genetic and phenotypic information from research participants committed to improving human health through advances in genomics. Our Therapeutics team based in South San Francisco uses this unparalleled dataset to discover and develop novel treatments for patients with serious unmet needs.

Biological interpretation of genetic signals available to 23andMe requires computational methods to analyze high-throughput functional data, development of tools that integrate genetics and functional genomics to drive target discovery, and summarizing the results in ways that enable efficient decision making.

More information about our Therapeutics team is available at https://therapeutics.23andme.com/ .

Who you are

We are looking for a quantitative scientist with extensive experience in computational biology and bioinformatics. Ideal candidates will have significant experience in working with large genomic datasets and developing robust software tools that drive discovery and interpretation. Our team is very collaborative, and the ability to communicate ideas and results to other scientists is key.

What you'll bring

Ph.D. -- or M.S. with at least 5 years of working experience in a research setting -- in Computational Biology, Computer Science, Bioinformatics, Statistics or a related field

Hands-on experience working with very large genomic datasets

Strong programming skills in (preferably) R or python, and demonstrated ability to write R packages / python libraries for broad use

Experience working with SQL and relational databases

Extensive experience in writing robust code in a shared development environment

Experience in deploying internally developed tools in a production environment

Ability to work in a dynamic team oriented environment

Good communication skills and experience communicating software or database design to colleagues

Pluses

Contribution to an open source project, especially in R
Familiarity with tools for processing WGS, RNA-seq, ATAC-seq, ChIP-seq or similar
Experience in summarizing data to help drive interpretation and decision making

Job title will be commensurate with experience and academic credentials

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has over 10 million customers worldwide, with ~80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com . 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
23,"Pyramid Consulting, Inc
3.9",Scientist - II (Associate) - CA Only Scientist - II (Associate) - CA Only,"South San Francisco, CA",-1,Job Type : Full-time,1001 to 5000 employees,1996,company - private,computer hardware & software,information technology,$100 to $500 million (usd),"Job Description:

The Oncology team in San Francisco, CA has a very exciting opportunity as a Wet Bench Scientist. This role will target cancer discovery! • Executing a diverse array of in vitro experiments in early target discovery and validation for oncology. • Working with various mammalian cells, 3D spheroid culture and CRISPR gene editing. • may assist in the design of laboratory experiments, techniques, and protocols. • Immunoassays (ELISA, MSD, Luminex, HTRF) and protein quantification (Western blot) • Performs related laboratory maintenance such as maintaining and cleaning equipment and ordering supplies • May occasionally help with data analysis • About you – You are energetic and have a passion for the greater good! You are committed to excellence! You are a self-driven, motivated multi-tasker. You are organized and meticulous. You are collaborative and communicate well with others. You motivate and inspire others to share their ideas.

Qualifications:

• BS degree in Biological Sciences with 5+ years of relevant laboratory experience in Oncology, Immunology, Molecular Biology, or a related field or MS degree in Biological Sciences with 2+ years of research experience in an industrial setting • Would entertain an Associate’s degree with commensurate level of experience. • Experience in general cell biology methods including maintenance of cell lines and/or primary cells, cell separation/expansion. • Familiar with mammalian cell culture • Prior experience with in-vitro functional assays using cell lines and/or primary cells • Experience in immunoassays (ELISA, MSD, Luminex, HTRF) and protein quantification (Western blot) • Candidate should be willing to learn new skills/techniques. • Data analysis experience • Ability to work with a cross-functional team • Excellent communication and record-keeping skills. • Ability to work collaboratively with multiple teams • Preferred Qualifications: • Prior experience with CRISPR gene editing is highly desirable • Hands on experience with 3D spheroid/organoids culture.

#MORR"
24,Hongene Biotech Corporation,Senior/Staff Scientist,"Union City, CA",$87K - $183K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"We are looking for a highly motivated chemist with background in synthetic organic chemistry and experience in related analytical techniques and modern instrumentation. The chemist will work closely with other group members and play an important role in synthesis of new target compounds and transfer of experimental procedures to the manufacture group.
Responsibilities:
Synthesize, purify and characterize new intermediates and target compounds.
Optimize and scale up the synthesis and transfer procedures to the manufacture group.
Keep good records of experimental procedures and analytical data.
Compose progress report for customers and present during conference calls"
25,"Anaspec, Inc",Scientist,"Fremont, CA",$75K - $157K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"MISSION
The mission of this team member is to participate in development of new products for life science research including assay development, protein expression, purification, antibodies purification and validation.
Main Responsibilities:
Develop new products for life sciences
Independently plan, design and execute experiments, and report the project activities
Independently troubleshoot antibody production problems
Prepare product datasheets, SOPs
Provide technical support for antibody products"
26,"Blue Owl
4.8",Senior Data Scientist - Machine Learning,"San Francisco, CA",$95K - $199K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,2016,company - private,insurance carriers,insurance,unknown / non-applicable,"About Us

BlueOwl is a separate company in the State Farm® family of companies and the solutions provider for HiRoad Insurance, an InsurTech brand that recognizes and rewards good choices. Operating independently with the backing of the #1 auto insurer in the country, we blend the best aspects of a tech startup and an industry leader. To see what we’ve helped build so far, check out HiRoad.com.

Our Vision

At BlueOwl, we envision a world where data driven behavior fuels better lives. We started with the reinvention of insurance and a bold mission to create a data science powered platform that actually helps people become better drivers. We aspire to be the best in the business at identifying low-risk drivers by harnessing the power of data with an innovative technology stack.

It’s a big goal, and that’s where you come in. We're growing a world class team of data science, engineering, design, product, marketing and mobile technologists because we know that the key to success isn’t just about nailing the technology—it’s hiring the talented people who will help us make a quantifiable impact."
27,"Thermo Fisher - America
3.8",Sr Staff Data Scientist,"San Francisco, CA",$101K - $179K (Glassdoor est.),Job Type : Full-time,10000+ employees,1902,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives."
28,"Charles River Laboratories
3.5","Research Scientist I, In Vivo PK","San Francisco, CA",$79K - $154K (Glassdoor est.),Job Type : Full-time,10000+ employees,1947,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$2 to $5 billion (usd),"For 70 years, Charles River employees have worked together to assist in the discovery, development and safe manufacture of new drug therapies. When you join our family, you will have a significant impact on the health and well-being of people across the globe. Whether your background is in life sciences, finance, IT, sales or another area, your skills will play an important role in the work we perform. In return, we’ll help you build a career that you can feel passionate about.
Job Summary
BASIC SUMMARY:
The individual in this position will serve as a Scientific team member for the company. This position requires competency of all aspects of PK/PD studies including the skills and techniques necessary to satisfy the overall study objectives. While retaining an element of hands-on responsibility, this position is also largely focused upon leveraging the individual’s scientific strengths through the mentoring and management of more junior staff."
