,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
10,"Alkahest, Inc.",Scientist - Immunology,"San Carlos, CA",$71K - $174K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist - Immunology
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated and driven team member who will be key in advancing our immune-related scientific activities. Alkahest is developing therapies to address disorders of the central and peripheral nervous system that occur with aging, with a particular emphasis on disease where neuroinflammation is an important component. The selected candidate will use a combination of animal and human studies to assess the relationship of our drug candidates with immune mechanisms through techniques best suited for clinical translation. The role is critical in providing clinical tools to advance our therapeutic understandings of immune-related mechanisms and bridging the gap between preclinical and clinical findings. The role requires dedication, flexibility, excellent communication and organization, and will interact with teams from research, clinical and clinical operations departments to drive multiple projects in parallel."
11,Octave Bioscience,Clinical Laboratory Scientist,"Menlo Park, CA",$101K - $116K (Glassdoor est.),Job Type : Part-time,-1,-1,-1,-1,-1,-1,"Head of Product – Patient Insights
Octave combines deep data with profound empathy to supercharge our comprehensive approach to improving outcomes in neurodegenerative diseases, starting with MS. Our team of data scientists, biologists, clinicians and technologists are bringing their A-game to creating the next generation of clinical care solutions.
If you are at the point in your career where you have built product strategies and teams in the health space and think “I’ve got this” and if you are looking for the next big challenge that will allow you to take everything you know to a problem worth solving, Octave is the place for you.
Using human-tech services we partner with people with multiple sclerosis (PwMS) to understand and act upon the complexities and subtleties they deal with every day. Our platform of apps, sensors and wearables, cutting edge imaging technologies, and novel biomarkers provide the data for our nurses to partner with PwMS to empower them to live their lives with this disease just being one part, not the defining part."
12,"Adventist Health
3.6","Clinical Laboratory Scientist (CLS) - Day Shift, Full Time","Saint Helena, CA",$53K - $117K (Glassdoor est.),Job Type : Full-time,10000+ employees,1973,nonprofit organization,health care services & hospitals,health care,unknown / non-applicable,"Clinical Laboratory Scientist (CLS) - Day Shift, Full Time
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
Located in the beautiful Napa Valley, Adventist Health St. Helena is an acute-care hospital with key service areas including 24-hour emergency care, Adventist Heart and Vascular Institute, Coon Joint Replacement Institute, Martin O'Neil Cancer Center and the innovative TakeTEN program.
Located within easy reach of the coast, Sierra Nevada mountains and San Francisco, the Napa Valley is a place where the old world is not forgotten, where rural charm rules the day, and where everyone lives a great life. Whether walking along the local vineyards or biking the hills, this is a wonderful place to find a life and work balance."
13,Affimedix Inc,Sr. Scientist / Manager - Rapid Lateral Flow Diagnostics,"Hayward, CA",$98K - $198K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Affimedix, a fast growing Medical Device company in San Francisco bay of California, focuses on R & D, product design, development, manufacturing and marketing of its “Proprietary” Point-Of-Care Health Diagnostics globally.
Responsibilities:
Conduct state-of-the-art Rapid Lateral Flow immunoassays development, including reagent screening, proof-of-concept, feasibility study, optimization, validation and final product development.
Prepare technical SOPs as required for review and approval.
Compile and analyze data; prepare reports and documentations.
Prepare assay validation reports and other assay-related documentation as required by FDA and ISO regulations."
14,"Oak Valley Hospital District
3.3",Clinical Lab Scientist l,"Oakdale, CA",$19 - $30 Per Hour(Glassdoor est.),Job Type : Part-time,201 to 500 employees,-1,hospital,health care services & hospitals,health care,$50 to $100 million (usd),"JOB DESCRIPTION &
COMPETENCY EVALUATION
POSITION TITLE: Clinical Laboratory Scientist JOB CODE: 121
DEPARTMENT: Clinical Laboratory (7060) SALARY GRADE:
REPORTS TO: Department Manager, Clinical Laboratory EXEMPT/NON: Non-exempt
Position Summary:
Under general supervision and medical direction, performs laboratory test procedures in a manner that provides accurate, timely, and meaningful results."
15,"Adventist Health
3.6","Clinical Laboratory Scientist (CLS), Nights, Full Time - $20K Incentive","Clearlake, CA",$51K - $108K (Glassdoor est.),Job Type : Full-time,10000+ employees,1973,nonprofit organization,health care services & hospitals,health care,unknown / non-applicable,"Clinical Laboratory Scientist, Nights, Full Time - $20K Sign On Bonus!
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
Adventist Health Clear Lake is a 25-bed, critical access hospital serving Lake County with key service areas including an emergency care, imaging, intensive care, maternity, physical rehabilitation, pulmonary rehabilitation, surgery and nine rural health clinics that provide behavioral health, cancer, dental, family medicine, OB/GYN, pediatrics, neurology, orthopedic and pain management to name a few.
Home to Clear Lake, California’s largest natural freshwater lake, Lake County is a great place to live and work. From every corner, there are pristine views of gorgeous landscapes, beautiful mountains, valleys and rolling hills dotted with rows of vineyards and charming small towns. Located just two hours by car from the San Francisco Bay Area, the Sacramento Valley or the Pacific Coast, Clear Lake is a great place to be if you’re a weekend warrior."
16,"Oak Valley Hospital District
3.3",Clinical Lab Scientist l (Full-Time),"Oakdale, CA",$21 - $34 Per Hour(Glassdoor est.),Job Type : Full-time,201 to 500 employees,-1,hospital,health care services & hospitals,health care,$50 to $100 million (usd),"JOB DESCRIPTION &
COMPETENCY EVALUATION
POSITION TITLE: Clinical Laboratory Scientist
JOB CODE: 121
DEPARTMENT: Clinical Laboratory (7060) SALARY GRADE:
REPORTS TO: Department Manager, Clinical Laboratory EXEMPT/NON: Non-exempt
Position Summary:
Under general supervision and medical direction, performs laboratory test procedures in a manner that provides accurate, timely, and meaningful results."
17,"Stealth Mode Startup
4.0","NGS Scientist, Library Prep","Newark, CA",$108K - $197K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,unknown,-1,-1,less than $1 million (usd),"Scientist, NGS Library Prep
Job Description
Join a rapidly growing startup that is developing exciting new genomics technologies. The candidate combines a strong scientific background in the NGS library preparation field, responsible for delivering highly robust and productizable workflows. Join a remarkable and outstanding team of scientists and engineers; be part of the next transformation of the genomics field.
Responsibilities
- Technical lead on NGS library prep development projects
- Defines timelines and milestones"
18,"Lucid Motors
4.1",Cloud Data Engineer for Autonomous Driving,"Newark, CA",$94K - $130K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2007,company - private,transportation equipment manufacturing,manufacturing,unknown / non-applicable,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking an experienced AWS Engineer to help build up our large-scale data management system for the ADAS / Autonomous Driving team. This field allows contributions on various levels around the data pipeline and data processing, data annotation, machine learning, data ingestion, data pre-processing, integration of Deep Neural Network frameworks, efficient data search and high performance data manipulation."
19,TrueBinding,"Scientist, NASH/Liver disease","Foster City, CA",$78K - $164K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist
Liver Disease, NASH
About TrueBinding, Inc.
TrueBinding, Inc. is a preclinical and clinical stage biotech company developing first-in-class therapeutic antibody drugs for applications to treat cancer, metabolic diseases, immuno-fibrosis, autoimmune and neurodegeneration diseases, based on our proprietary TrueBinding platform. In our state-of-the-art laboratories, we are seeking innovative and disruptive therapies for highly unmet medical needs.
Job Summary:
We are seeking an experienced Scientist for our Biology Division with a strong background in liver diseases research, ideally having worked with NASH."
20,Circularis Biotechnologies,Research Scientist,"Oakland, CA",$82K - $173K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Circularis Biotechnologies is a small start-up company specializing in DNA promoter discovery and engineering, to serve gene therapy and bio-manufacturing companies around the world. We have an immediate opening for a research scientist (full-time) to be part of our growing team located in Oakland, California. This position offers the opportunity to participate in projects using a wide variety of techniques in the fields of molecular biology, biochemistry, and bioinformatics. We also offer generous stock options to candidates ready to commit to a long term position. The following skills are required:
Ph.D. in an area focused on molecular biology.
Extensive experience in the design and cloning of gene expression plasmids using advanced molecular biology skills (library construction, etc.).
Experience in nucleic acid analysis (DNA, RNA), and next-generation sequencing methods.
Experience with mammalian cell culture, and viral and/or non-viral delivery methods is a plus."
21,"23andMe
4.1","Scientist I, Protein Engineering","South San Francisco, CA",$98K - $217K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Who we are

23andMe, the leading consumer genetics and research company, has accumulated a wealth of genotypic and phenotypic information from participants committed to improving human health through advances in genomics. Our Therapeutics team in South San Francisco leverages this data to discover and develop new treatments that can offer significant benefits for patients with serious, unmet medical needs.

This dedicated research and drug development group identifies novel targets using 23andMe's genetic database and performs preclinical research to advance programs towards clinical development. We currently have programs across several therapeutic areas, including but not limited to oncology, respiratory, and cardiovascular diseases. More information about our Therapeutics team is available at https://therapeutics.23andme.com/ .

We are seeking an exceptional, highly-motivated Scientist to contribute to a collaborative, cross-functional team focused on the biological characterization of drug targets and the preclinical development of drug compounds. In this role, you will have experience applying molecular and cell biology approaches to elucidate target function and drug mechanism of action.

What you'll do

Manage the production of mammalian proteins and antibodies to support therapeutic development programs, from construct generation through purification, biophysical and analytical characterization

Interface and collaborate closely with other therapeutic teams including analytics, antibody engineering, and assay

Work closely with project leads to manage and prioritize protein reagent requirements for multiple projects

Utilize mammalian (HEK293 & CHO), insect, and bacterial (E.coli) transient expression systems for protein production

Perform protein purification using a broad variety of chromatographic methods utilizing FPLC/AKTA systems

Produce, engineer, label and/or optimize protein reagents for use in biochemical and functional screening assays

Manage CRO workflows and progress on protein expression/purification related projects

Generate, analyze, document and communicate complex data

What you'll bring

Master's or PhD in Molecular Biology, Biochemistry, or related field

Considerable industry experience in Biotech/Pharma OR in academic research laboratories as a Postdoctoral fellow

Excellent record of productivity and success in the optimization of all aspects of the production of mammalian proteins

Advanced working knowledge of protein expression and purification techniques, protein structure and stability

Proactive and highly self-motivated with strong analytical and troubleshooting skills

Excellent interpersonal communication and organization skills with the ability to work independently and in a fast-paced team environment

Pluses

Prior work experience in an antibody-development setting

Experience with protein analytical characterization such as SEC, RP-HPLC

Prior experience in protein production support for a structural biology group

Prior experience in in vitro and binding assay development

Job title will be commensurate with experience and academic credentials

About Us

23andMe, Inc. is the leading consumer genetics and research company. Founded in 2006, the mission of the company is to help people access, understand, and benefit from the human genome. The company was named by Glassdoor as one of the Best Places to Work in 2019, MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has millions of customers worldwide, with more than 80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accomodations-ext@23andme.com . 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
22,"Lucid Motors
4.1","Lead Data Engineer, Big Data","Newark, CA",$178K - $200K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2007,company - private,transportation equipment manufacturing,manufacturing,unknown / non-applicable,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are looking for a Lead Data Engineer, Big Data who is looking for a challenge, enjoys thinking big and looking to make their mark on an extremely fast growing company. If building large and building fast, working with a young and very talented team of engineers and collaborating with the brightest mind in the Automotive industry is what you like, Lucid is the best to experience it.
The Role"
23,"23andMe
4.1","Scientist I / Scientist II, Computational Biology","South San Francisco, CA",$70K - $194K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Who we are

23andMe, the leading consumer genetics company, has accumulated a wealth of genetic and phenotypic information from research participants committed to improving human health through advances in genomics. Our Therapeutics team based in South San Francisco uses this unparalleled dataset to discover and develop novel treatments for patients with serious unmet needs.

Biological interpretation of genetic signals available to 23andMe requires computational methods to analyze high-throughput functional data, development of tools that integrate genetics and functional genomics to drive target discovery, and summarizing the results in ways that enable efficient decision making.

More information about our Therapeutics team is available at https://therapeutics.23andme.com/ .

Who you are

We are looking for a quantitative scientist with extensive experience in computational biology and bioinformatics. Ideal candidates will have significant experience in working with large genomic datasets and developing robust software tools that drive discovery and interpretation. Our team is very collaborative, and the ability to communicate ideas and results to other scientists is key.

What you'll bring

Ph.D. -- or M.S. with at least 5 years of working experience in a research setting -- in Computational Biology, Computer Science, Bioinformatics, Statistics or a related field

Hands-on experience working with very large genomic datasets

Strong programming skills in (preferably) R or python, and demonstrated ability to write R packages / python libraries for broad use

Experience working with SQL and relational databases

Extensive experience in writing robust code in a shared development environment

Experience in deploying internally developed tools in a production environment

Ability to work in a dynamic team oriented environment

Good communication skills and experience communicating software or database design to colleagues

Pluses

Contribution to an open source project, especially in R
Familiarity with tools for processing WGS, RNA-seq, ATAC-seq, ChIP-seq or similar
Experience in summarizing data to help drive interpretation and decision making

Job title will be commensurate with experience and academic credentials

About Us

23andMe, Inc. is the leading consumer genetics and research company. Our mission is to help people access, understand and benefit from the human genome. The company was named by MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has over 10 million customers worldwide, with ~80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accommodations-ext@23andme.com . 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
24,"Anaspec, Inc",Scientist,"Fremont, CA",$75K - $157K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"MISSION
The mission of this team member is to participate in development of new products for life science research including assay development, protein expression, purification, antibodies purification and validation.
Main Responsibilities:
Develop new products for life sciences
Independently plan, design and execute experiments, and report the project activities
Independently troubleshoot antibody production problems
Prepare product datasheets, SOPs
Provide technical support for antibody products"
